Zeilen ID;Name;Name Code;Sitz;Jahr;Teil;Seite (Bilanz);Position;Zahl;Titel (fein);Code nach Titel (fein);Wert (Euro)
1;Advoco Pflegedienst GmbH;1;Potsdam;2018;Bilanz;Aktiva;1;A.;Anlagevermögen;1001;53807
2;Advoco Pflegedienst GmbH;1;Potsdam;2018;Bilanz;Aktiva;2;A.I.;Anlagevermögen: Immaterielle Vermögensgegenstände;1005;37
3;Advoco Pflegedienst GmbH;1;Potsdam;2018;Bilanz;Aktiva;3;A.II.;Anlagevermögen: Sachanlagen;1010;53770
4;Advoco Pflegedienst GmbH;1;Potsdam;2018;Bilanz;Aktiva;4;B.;Umlaufvermögen;1180;385114,87
5;Advoco Pflegedienst GmbH;1;Potsdam;2018;Bilanz;Aktiva;5;B.I.;Umlaufvermögen: Forderungen und sonstige Vermögensgegenstände;1182;356647,78
6;Advoco Pflegedienst GmbH;1;Potsdam;2018;Bilanz;Aktiva;6;B.II.;Umlaufvermögen: Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks;1197;28467,09
7;Advoco Pflegedienst GmbH;1;Potsdam;2018;Bilanz;Aktiva;7;C.;Rechnungsabgrenzungsposten (Aktivaseite);1166;531,55
8;Advoco Pflegedienst GmbH;1;Potsdam;2018;Bilanz;Aktiva;8;0;Summe Aktiva;1178;439453,42
9;Advoco Pflegedienst GmbH;1;Potsdam;2018;Bilanz;Passiva;9;A.;Eigenkapital;1030;274901,75
10;Advoco Pflegedienst GmbH;1;Potsdam;2018;Bilanz;Passiva;10;A.I.;Eigenkapital: gezeichnetes Kapital;1050;27000
11;Advoco Pflegedienst GmbH;1;Potsdam;2018;Bilanz;Passiva;11;A.I.1.;Eigenkapital: gezeichnetes Kapital: nicht eingeforderte ausstehende Einlagen;1055;-13500
12;Advoco Pflegedienst GmbH;1;Potsdam;2018;Bilanz;Passiva;12;A.I.2.;Eigenkapital: gezeichnetes Kapital: eingefordertes Kapital;1054;13500
13;Advoco Pflegedienst GmbH;1;Potsdam;2018;Bilanz;Passiva;13;A.II.;Eigenkapital: Bilanzgewinn;1034;261401,75
14;Advoco Pflegedienst GmbH;1;Potsdam;2018;Bilanz;Passiva;14;B.;Rückstellungen;1169;54171,32
15;Advoco Pflegedienst GmbH;1;Potsdam;2018;Bilanz;Passiva;15;C.;Verbindlichkeiten;1207;110080,35
16;Advoco Pflegedienst GmbH;1;Potsdam;2018;Bilanz;Passiva;16;D.;Rechnungsabgrenzungsposten (Passivaseite);1168;300
17;Advoco Pflegedienst GmbH;1;Potsdam;2018;Bilanz;Passiva;17;0;Summe Passiva;1179;439453,42
18;Advoco Pflegedienst GmbH;1;Potsdam;2019;Bilanz;Aktiva;1;A.;Anlagevermögen;1001;66952
19;Advoco Pflegedienst GmbH;1;Potsdam;2019;Bilanz;Aktiva;2;A.I.;Anlagevermögen: Immaterielle Vermögensgegenstände;1005;6
20;Advoco Pflegedienst GmbH;1;Potsdam;2019;Bilanz;Aktiva;3;A.II.;Anlagevermögen: Sachanlagen;1010;66946
21;Advoco Pflegedienst GmbH;1;Potsdam;2019;Bilanz;Aktiva;4;B.;Umlaufvermögen;1180;327519,81
22;Advoco Pflegedienst GmbH;1;Potsdam;2019;Bilanz;Aktiva;5;B.I.;Umlaufvermögen: Forderungen und sonstige Vermögensgegenstände;1182;302513,35
23;Advoco Pflegedienst GmbH;1;Potsdam;2019;Bilanz;Aktiva;6;B.I.a.;Umlaufvermögen: Forderungen und sonstige Vermögensgegenstände: davon mit einer Restlaufzeit von mehr als einem Jahr;1184;0
24;Advoco Pflegedienst GmbH;1;Potsdam;2019;Bilanz;Aktiva;7;B.II.;Umlaufvermögen: Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks;1197;25006,46
25;Advoco Pflegedienst GmbH;1;Potsdam;2019;Bilanz;Aktiva;8;C.;Rechnungsabgrenzungsposten (Aktivaseite);1166;2543,2
26;Advoco Pflegedienst GmbH;1;Potsdam;2019;Bilanz;Aktiva;9;0;Summe Aktiva;1178;397015,01
27;Advoco Pflegedienst GmbH;1;Potsdam;2019;Bilanz;Passiva;10;A.;Gezeichnetes Kapital;1074;27000
28;Advoco Pflegedienst GmbH;1;Potsdam;2019;Bilanz;Passiva;11;A.I.;Gezeichnetes Kapital: nicht eingeforderte ausstehende Einlagen;1075;0
29;Advoco Pflegedienst GmbH;1;Potsdam;2019;Bilanz;Passiva;12;B.;Bilanzgewinn;1020;210742,04
30;Advoco Pflegedienst GmbH;1;Potsdam;2019;Bilanz;Passiva;13;C.;Rückstellungen;1169;62521,65
31;Advoco Pflegedienst GmbH;1;Potsdam;2019;Bilanz;Passiva;14;D.;Verbindlichkeiten;1207;96751,32
32;Advoco Pflegedienst GmbH;1;Potsdam;2019;Bilanz;Passiva;15;D.a.;Verbindlichkeiten: davon mit einer Restlaufzeit bis zu einem Jahr;1213;37406,64
33;Advoco Pflegedienst GmbH;1;Potsdam;2019;Bilanz;Passiva;16;D.b.;Verbindlichkeiten: davon mit einer Restlaufzeit von mehr als einem Jahr;1214;59344,68
34;Advoco Pflegedienst GmbH;1;Potsdam;2019;Bilanz;Passiva;17;E.;Rechnungsabgrenzungsposten (Passivaseite);1168;0
35;Advoco Pflegedienst GmbH;1;Potsdam;2019;Bilanz;Passiva;18;0;Summe Passiva;1179;397015,01
