Interne Zeilen ID;Interne Firmen ID;Dienste nach Alphabet und Jahr;Name;Sitz;Rechtsform;Reg.-gericht;HR-Nr. (neueste);IK-Nr.;GF;Jahr;Anlagenintensität (Quote);Umlaufintensität (Quote);Forderungsintensität (Quote);Vorratsintensität (Quote);Eigenkapitalquote;Fremdkapitalquote;Verschuldungsgrad (Quote);Anlagendeckungsgrad 1 (Quote);Anlagendeckungsgrad 2 (Quote);Liquidität Grad 1 (Quote);Liquidität Grad 2 (Quote);Liquidität Grad 3 (Quote);Eigenkapitalrentabilität (Quote);Gesamtkapitalrentabilität (Quote);Personalaufwandsquote;Personalaufwand je MA;Materialaufwandsquote;Materialaufwand je MA;Anlagevermögen (Einzelwert);Umlaufvermögen (Einzelwert);Gesamtvermögen (Einzelwert);Forderungen (Wertesumme);Kurzfristige Forderungen (Wertedifferenz);Bestand Vorräte (Wertesumme);Eigenkapital (Einzelwert);Gesamtkapital (Einzelwert);Fremdkapital (Wertesumme);Langfristiges Fremdkapital (Wertesumme);Liquide Mittel (Wertesumme);Kurzfristige Verbindlichkeiten (Wertedifferenz);Langfristige Verbindlichkeiten (Wertesumme);Jahresüberschuss (Wertesumme);Bilanzgewinn (Wertesumme);Fremdkapitalzinsen;Personalaufwand;Materialaufwand;Gesamtleistung;Mitarbeiter;1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1012;1013;1014;1015;1016;1017;1018;1019;1020;1021;1022;1023;1024;1025;1026;1027;1028;1029;1030;1031;1032;1033;1034;1035;1036;1037;1038;1039;1040;1041;1042;1043;1044;1045;1046;1047;1048;1049;1050;1051;1052;1053;1054;1055;1056;1057;1058;1059;1060;1061;1062;1063;1064;1065;1066;1067;1068;1069;1070;1071;1072;1073;1074;1075;1076;1077;1078;1079;1080;1081;1082;1083;1084;1085;1086;1087;1088;1089;1090;1091;1092;1093;1094;1095;1096;1097;1098;1099;1100;1101;1102;1103;1104;1105;1106;1107;1108;1109;1110;1111;1112;1113;1114;1115;1116;1117;1118;1119;1120;1121;1122;1123;1124;1125;1126;1127;1128;1129;1130;1131;1132;1133;1134;1135;1136;1137;1138;1139;1140;1141;1142;1143;1144;1145;1146;1147;1148;1149;1150;1151;1152;1153;1154;1155;1156;1157;1158;1159;1160;1161;1162;1163;1164;1165;1166;1167;1168;1169;1170;1171;1172;1173;1174;1175;1176;1177;1178;1179;1180;1181;1182;1183;1184;1185;1186;1187;1188;1189;1190;1191;1192;1193;1194;1195;1196;1197;1198;1199;1200;1201;1202;1203;1204;1205;1206;1207;1208;1209;1210;1211;1212;1213;1214;1215;1216;1217;1218;1219;1220;1221;1222;1223;1224;1225;1226;1227;1228;1229;1230;1231;1232;1233;1234;1235;1236
1;1;1;Advoco Pflegedienst GmbH;Potsdam;GmbH;Potsdam;22822;463201668;Yuliya Kyryan;2018;0,122440736;0,876349694;0,811571292;0;0,625553785;0,373763549;0,597492268;5,109033211;6,115804078;0,25860283;;0,876349694;0;0,594833805;;;;;53807;385114,87;439453,42;356647,78;356647,78;0;274901,75;439453,42;164251,67;54171,32;28467,09;110080,35;0;0;261401,75;;;;0;;53807;;;;37;;;;;53770;;;;;;;;;;;;;;;;;;;;274901,75;;;;261401,75;;;;;;;;;;;;;;;;27000;;;;13500;-13500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;531,55;;300;54171,32;;;;;;;;;439453,42;439453,42;385114,87;;356647,78;;;;;;;;;;;;;;;28467,09;;;;;;;;;;110080,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;2;7;Ambulante Pflege Lehmann UG (haftungsbeschränkt);Potsdam;UG (haftungsbeschänkt);Potsdam;31142;461212177;Nicole Lehmann;2018;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;3;13;Ambulanter Pflegedienst im Oberlinhaus gemeinnützige GmbH i. L.;Potsdam;gGmbH i. L.;Potsdam;15698;461217456;Thomas Neubauer;2018;;1;0,864091834;0;0,763054267;0,236945733;0,31052278;;;970,891358;;-1;-0,010526449;0;;;;;;28932,11;28932,11;25000;25000;0;-22076,77;-28932,11;-6855,34;-6859,39;3932,11;4,05;0;232,39;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-22076,77;;;;;;;;;;;;;;;;;;127690,84;;;-150000;;;;;;232,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-6859,39;-6859,39;;;;;;;;28932,11;-28932,11;28932,11;;25000;;;;;;;;25000;;;;;;;;;;;3932,11;;;;;;4,05;;;;;;;;;;1071,52;;;;;;-1067,47;;;;;;;;;;;;;
4;4;19;Atemzug Intensivpflege Burkart GmbH;Stahnsdorf;GmbH;Potsdam;29193;461210665;Martina Burkart;2018;0,170984857;0,829015143;0,458516387;0;0,517402371;0,482597629;0,93273177;3,026012822;4,116722049;1,251250145;;0,829015143;0,555100162;0;;;;;59586;288901;348487;159787;159787;0;180308;348487;168179;64991;129114;103188;0;100089;0;;;;0;20;59586;0;;;924;;;;;58662;;;;;;;;;;;;;;;;;;;;180308;;;;;;;;;;;;;;0;;;;55219;;500;;;;;;;;;;100089;;;24500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;0;;0;64991;;;;;;;;;348487;348487;288901;;159787;;;;;;;;;;;;;;;129114;;;;;0;;;0;;103188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5;25;Backschies Häusliche Krankenpflege und Seniorenbetreuung GmbH;Potsdam;GmbH;Potsdam;32889;461200663;Lydia Backschies, Heike Jezewski;2018;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0;0;0;0;0;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;6;31;Care Vita GmbH;Werder (Havel);GmbH;Potsdam;30922;461212031;Stephanie Gräber;2018;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;7;37;carebrandenburg24 Pflegedienst GmbH;Kleinmachnow;GmbH;Potsdam;33650;461214102;Emrah Türker;2018;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;8;43;COMCURA GmbH;Beelitz (vormals: Coswig);GmbH;Dresden;28687;463202965;Dr. Matthias-Hagen Lakotta;2018;0,021892372;0,977242832;0,370353074;0,00224321;0,576898974;0,423101026;0,733405752;26,3515979;38,7159283;3,967067283;;0,977242832;-0,004140542;0;;;;;26053;1162967,08;1190049,23;440738,39;440738,39;2669,53;686538,18;1190049,23;503511,05;322127,9;719559,16;181383,15;0;-2842,64;0;;;;0;58,25;26053;;;;1;;;;;26052;;;;;;;;;;;;;;;;;;;;686538,18;;;;;;;;;;;;;;;;;664380,82;;;25000;;;;;;;;-2842,64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,25;;;;;;;;;1029,15;;;322127,9;;;;;;;;;1190049,23;1190049,23;1162967,08;;440738,39;;;;;;;;;;;;;;;;719559,16;;;;2669,53;;;;;181383,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;9;49;Comfort Homecare GmbH Brandenburg;Erkner;GmbH;Frankfurt (Oder);16386;461211553;Thomas Wierzoch;2018;0,534971507;0,465028493;0,465015761;0;0,149524594;0,850475406;5,687863021;0,279500107;1,105213653;3,11484E-05;1,44137335;0,465028493;0;0,069951736;;;;;168076;146101,48;314177,48;146097,48;146097,48;0;46977,26;314177,48;267200,22;138782,63;4;128417,59;101362,69;0;21977,26;;;;0;;168076;;;;991;;;;;167085;;;;;;;;;;;;;;;;;;;;46977,26;;;;21977,26;;;;;;;;;;;;;;;;25000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;37419,94;;;;;;;;;314177,48;314177,48;146101,48;;146097,48;;;;;;;;;;;;;;;4;;;;;;;;;;229780,28;;;;;;128417,59;101362,69;;;;;;;;;;;;;;;;;;;;;;
10;10;55;ConVIDA V&P Ambulanter Pflegedienst GmbH;Teltow;GmbH;Potsdam;27507;463202681;Juan Manuel Velez Rodrigues, Malgorzata Pierowska;2018;0,049001467;0,95039631;0,607305501;0;0,866411023;0,133588977;0,154186608;17,6813284;18,09034837;3,021591285;;0,95039631;0;0,830400745;;;;;17826;345739,95;363785,03;220928,65;220928,65;0;315187,36;363785,03;48597,67;7291,19;124811,3;41306,48;0;0;302087,36;;;;0;12;17826;;;;5855;;;;;11971;;;;;;;;;;;;;;;;;;;;315187,36;;;;302087,36;;;;;;;13100;;;;;;;;;25600;;;;;;;;;;;;;;;;-12500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;219,08;;;7291,19;;;;;;;;;363785,03;363785,03;345739,95;;220928,65;;;;;;;;;;;;;;;124811,3;;;;;;;;;;41306,48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
